timestamp,bandwidth_mbps
2026-08-15T12:00:00,20.04
2026-08-15T12:00:01,24.5
2026-08-15T12:00:02,27.33
2026-08-15T12:00:03,26.64
2026-08-15T12:00:04,26.89
2026-08-15T12:00:05,30.26
2026-08-15T12:00:06,32.23
2026-08-15T12:00:07,34.06
2026-08-15T12:00:08,30.91
2026-08-15T12:00:09,31.05
2026-08-15T12:00:10,34.25
2026-08-15T12:00:11,33.63
2026-08-15T12:00:12,34.87
2026-08-15T12:00:13,33.36
2026-08-15T12:00:14,30.87
2026-08-15T12:00:15,29.78
2026-08-15T12:00:16,33.51
2026-08-15T12:00:17,28.15
2026-08-15T12:00:18,26.68
2026-08-15T12:00:19,25.57
2026-08-15T12:00:20,27.19
2026-08-15T12:00:21,27.13
2026-08-15T12:00:22,26.44
2026-08-15T12:00:23,27.23
2026-08-15T12:00:24,28.33
2026-08-15T12:00:25,29.79
2026-08-15T12:00:26,31.41
2026-08-15T12:00:27,31.12
2026-08-15T12:00:28,29.16
2026-08-15T12:00:29,34.43
2026-08-15T12:00:30,32.33
2026-08-15T12:00:31,35.55
2026-08-15T12:00:32,34.57
2026-08-15T12:00:33,37.88
2026-08-15T12:00:34,37.35
2026-08-15T12:00:35,39.41
2026-08-15T12:00:36,44.54
2026-08-15T12:00:37,39.08
2026-08-15T12:00:38,40.1
2026-08-15T12:00:39,35.93
2026-08-15T12:00:40,36.62
2026-08-15T12:00:41,36.92
2026-08-15T12:00:42,34.3
2026-08-15T12:00:43,33.46
2026-08-15T12:00:44,31.36
2026-08-15T12:00:45,27.88
2026-08-15T12:00:46,7.85
2026-08-15T12:00:47,5.24
2026-08-15T12:00:48,9.16
2026-08-15T12:00:49,5.03
2026-08-15T12:00:50,6.66
2026-08-15T12:00:51,5.34
2026-08-15T12:00:52,6.71
2026-08-15T12:00:53,4.13
2026-08-15T12:00:54,6.66
2026-08-15T12:00:55,4.89
2026-08-15T12:00:56,22.7
2026-08-15T12:00:57,22.14
2026-08-15T12:00:58,21.95
2026-08-15T12:00:59,21.11
2026-08-15T12:01:00,24.22
2026-08-15T12:01:01,24.33
2026-08-15T12:01:02,26.68
2026-08-15T12:01:03,23.78
2026-08-15T12:01:04,25.4
2026-08-15T12:01:05,25.22
2026-08-15T12:01:06,24.51
2026-08-15T12:01:07,23.79
2026-08-15T12:01:08,22.88
2026-08-15T12:01:09,20.53
2026-08-15T12:01:10,18.54
2026-08-15T12:01:11,18.03
2026-08-15T12:01:12,17.98
2026-08-15T12:01:13,17.73
2026-08-15T12:01:14,15.14
2026-08-15T12:01:15,13.55
2026-08-15T12:01:16,11.49
2026-08-15T12:01:17,9.89
2026-08-15T12:01:18,7.78
2026-08-15T12:01:19,7.68
2026-08-15T12:01:20,8.52
2026-08-15T12:01:21,4.67
2026-08-15T12:01:22,3.91
2026-08-15T12:01:23,8.27
2026-08-15T12:01:24,5.92
2026-08-15T12:01:25,7.74
2026-08-15T12:01:26,8.46
2026-08-15T12:01:27,6.29
2026-08-15T12:01:28,13.18
2026-08-15T12:01:29,13.37
2026-08-15T12:01:30,12.06
2026-08-15T12:01:31,14.18
2026-08-15T12:01:32,14.28
2026-08-15T12:01:33,13.62
2026-08-15T12:01:34,15.63
2026-08-15T12:01:35,16.96
2026-08-15T12:01:36,18.47
2026-08-15T12:01:37,17.91
2026-08-15T12:01:38,16.72
2026-08-15T12:01:39,18.43
2026-08-15T12:01:40,14.49
2026-08-15T12:01:41,16.27
2026-08-15T12:01:42,15.98
2026-08-15T12:01:43,12.88
2026-08-15T12:01:44,9.63
2026-08-15T12:01:45,10.26
2026-08-15T12:01:46,11.41
2026-08-15T12:01:47,11.37
2026-08-15T12:01:48,12.7
2026-08-15T12:01:49,8.57
2026-08-15T12:01:50,10.39
2026-08-15T12:01:51,11.92
2026-08-15T12:01:52,11.42
2026-08-15T12:01:53,8.93
2026-08-15T12:01:54,15.32
2026-08-15T12:01:55,19.26
2026-08-15T12:01:56,18.86
2026-08-15T12:01:57,17.61
2026-08-15T12:01:58,20.31
2026-08-15T12:01:59,23.23
